_id,FID,DISPFACREG,FNAME,ONAME,FADDR,FMOO,FSOI,FROAD,FTUMNAME,FAMPNAME,FPROVNAME,OBJECT,STATUS,LAT,LNG,Last_update
15292,20190286125633,จ3-50(4)-115/63สบ,บริษัท ที.ดี.ดี. ก่อสร้าง จำกัด,บริษัท ที.ดี.ดี. ก่อสร้าง จำกัด,โฉนดที่ดินเลขที่ 33716,5,-,-,หน้าพระลาน,เฉลิมพระเกียรติ,สระบุรี,ผลิตแอสฟัลท์ติกคอนกรีต,ดำเนินกิจการ,14.5310795338882,100.9057461535,2023-04-18 21:00:05.000
15293,40660009625560,3-88-96/56พจ,บริษัท พิจิตรไบโอเพาเวอร์ จำกัด,บริษัท พิจิตรไบโอเพาเวอร์ จำกัด,168,6,NULL,NULL,ท้ายน้ำ,โพทะเล,พิจิตร,ผลิตและจำหน่ายกระแสไฟฟ้า,ดำเนินกิจการ,16.11649,100.20485,2023-04-18 21:00:05.000
15294,20730154525628,จ3-4(7)-1/62นฐ,ห้างหุ้นส่วนจำกัด เพ็ญเจริญ อินเตอร์เทรด,ห้างหุ้นส่วนจำกัด เพ็ญเจริญ อินเตอร์เทรด,98,12,NULL,NULL,หินมูล,บางเลน,นครปฐม,ทำผลิตภัณฑ์จากไข่เพื่อใช้ประกอบเป็นอาหาร,ดำเนินกิจการ,14.0967782281071,100.149395377528,2023-04-18 21:00:05.000
15295,20730067325637,จ3-71-9/63นฐ,บริษัท อีเมค จำกัด,บริษัท อีเมค จำกัด,NULL,NULL,NULL,NULL,ไร่ขิง,สามพราน,นครปฐม,ผลิตตู้ควบคุมระบบไฟฟ้า,ดำเนินกิจการ,13.7560037280494,100.30931949303,2023-04-18 21:00:05.000
15296,20720089525637,จ3-9(1)-11/63สพ,ห้างหุ้นส่วนจำกัด สุพรรณบุรีรุ่งเรือง,ห้างหุ้นส่วนจำกัด สุพรรณบุรีรุ่งเรือง,78,3,NULL,NULL,ยางนอน,เดิมบางนางบวช,สุพรรณบุรี,ปรับปรุงคุณภาพข้าว,ดำเนินกิจการ,14.8708534916947,100.151898664928,2023-04-18 21:00:05.000
15297,20131000125368,จ3-60-1/36ปท,NULL,นายบุญเรือน หงษ์มณี,26/4,4,NULL,สามโคก-เสนา,สามโคก,สามโคก,ปทุมธานี,หล่อพระพุทธรูป,ดำเนินกิจการ,14.1112666666667,100.506116666667,2023-04-18 21:00:05.000
15298,20720024025636,จ3-14-6/63สพ,โรงน้ำแข็ง เอส ที ไอซ์,นายอนันต์ รอดหงษ์ทอง,113,8,NULL,NULL,กระจัน,อู่ทอง,สุพรรณบุรี,ผลิตน้ำแข็งก้อนเล็ก,ดำเนินกิจการ,14.3931088161101,99.9389197267167,2023-04-18 21:00:05.000
15299,20110024125638,จ3-15(1)-2/63สป,บริษัท แฟรงคลิน (เอเซีย) จำกัด,บริษัท แฟรงคลิน (เอเซีย) จำกัด,333/9,9,โครงการ TIP8,NULL,บางปลา,บางพลี,สมุทรปราการ,ทำอาหารเสริมสำหรับสัตว์,ดำเนินกิจการ,13.58115,100.75534,2023-04-18 21:00:05.000
15300,10110129925637,3-106-50/63สป,บริษัท นิชแพค จำกัด,บริษัท นิชแพค จำกัด,โฉนดที่ดินเลขที่ 333719,3,NULL,NULL,แพรกษาใหม่,เมืองสมุทรปราการ,สมุทรปราการ,ผลิตน้ำมันซิลิโคนจากซิลิโคนที่ไม่เป็นของเสียอันตราย,ดำเนินกิจการ,13.541442,100.694852,2023-04-18 21:00:05.000
15301,20600135925637,จ3-2(1)-20/63นว,ห้างหุ้นส่วนจำกัด โกรกพระเซ็นเตอร์ไรซ์,ห้างหุ้นส่วนจำกัด โกรกพระเซ็นเตอร์ไรซ์,NULL,7,NULL,NULL,เนินกว้าว,โกรกพระ,นครสวรรค์,อบเมล็ดพืช เช่น ข้าวเปลือก ฯลฯ,ดำเนินกิจการ,15.541526368178,100.024619969421,2023-04-18 21:00:05.000
15302,140400125336,ส3-81(3)-1/33อย,บริษัท นิโปร (ประเทศไทย) จำกัด,บริษัท นิโปร (ประเทศไทย) จำกัด,10/2,8,NULL,-,บางนมโค,เสนา,พระนครศรีอยุธยา,ผลิตเวชภัณฑ์ทางการแพทย์ ,ดำเนินกิจการ,14.296769,100.426147,2023-04-18 21:00:05.000
15303,20742900125405,จ3-86-1/40สค,บริษัท บี เอ็ม สปอร์ต แอนด์ มิวสิค จำกัด,บริษัท บี เอ็ม สปอร์ต แอนด์ มิวสิค จำกัด,29/9,6,NULL,เลียบคลองสี่วาพาสวัสดิ์,คอกกระบือ,เมืองสมุทรสาคร,สมุทรสาคร,ทำไม้ปิงปอง และอุปกรณ์เกี่ยวกับกีฬา,ดำเนินกิจการ,13.6082833333333,100.319683333333,2023-04-18 21:00:05.000
15304,91030001425575,ข3-64(2)-14/57สป,บริษัท ไทยซัมมิท โอโตโมทีฟ จำกัด,บริษัท ไทยซัมมิท โอโตโมทีฟ จำกัด,4/3,1,NULL,บางนา-ตราด กม.16,บางโฉลง,บางพลี,สมุทรปราการ,ทำผลิตภัณฑ์จากเหล็ก เช่น ชิ้นส่วนรถยนต์ MMTh,ดำเนินกิจการ,13.62016,100.74144,2023-04-18 21:00:05.000
15305,20720000225572,จ3-15(2)-2/57สพ,-,นายสิทธา รัตนเสรีวัฒน,57,18,NULL,NULL,บ่อสุพรรณ,สองพี่น้อง,สุพรรณบุรี,ป่นพืชหรือบดพืช เพื่อผสมเป็นอาหารสัตว์,ดำเนินกิจการ,14.1383945123629,99.8953767652149,2023-04-18 21:00:05.000
15306,20730200625588,จ3-78(2)-6/58นฐ,บริษัท เคที วีลส์ ออโต้ จำกัด,บริษัท เคที วีลส์ ออโต้ จำกัด,4,12,-,-,โพรงมะเดื่อ,เมืองนครปฐม,นครปฐม,ผลิตวงล้อจักรยาน วงล้อจักรยานยนต์ และชิ้นส่วนอื่นๆ,ดำเนินกิจการ,13.8454650821288,99.9800405746506,2023-04-18 21:00:05.000
15307,10730000225524,3-15(1)-2/52นฐ,บริษัท อาร์ที อะกริเทค จำกัด,บริษัท อาร์ที อะกริเทค จำกัด,45,11,-,มาลัยแมน,ห้วยขวาง,กำแพงแสน,นครปฐม,ผลิตอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,ดำเนินกิจการ,13.91033,100.01231,2023-04-18 21:00:05.000
15308,20730179925621,จ3-3(2)-103/62นฐ,บริษัท ทรายกัลยาณมิตร จำกัด,บริษัท ทรายกัลยาณมิตร จำกัด,44473-44477,9,NULL,NULL,สระพัฒนา,กำแพงแสน,นครปฐม,ขุดตัก ดิน ดูดทราย ในที่ดินกรรมสิทธิ์,ดำเนินกิจการ,14.0968648678781,99.9835755337,2023-04-18 21:00:05.000
