name,category,lat,lon,dist_nearest_station_km
บริษัท ซันนี่อินเตอร์ฟู้ด จำกัด,Other manufacturing,14.79746,101.11806,29.2270484703673
อินพานิช,Other manufacturing,14.81886,101.12157,30.643127108498764
บริษัท น้ำตาลสระบุรี จำกัด,Other manufacturing,14.840833,101.076784,27.96276419980309
ห้างหุ้นส่วนจำกัด ชลสิทธิ์เอ็นเตอร์ไพรส์,Other manufacturing,14.82786,101.09004,28.26849158696285
บริษัท ซันเรนเดอร์ริ่ง จำกัด,Other manufacturing,14.79746,101.11806,29.2270484703673
บริษัท ไทยรุ่งเรืองพลังงาน จำกัด,Other manufacturing,14.83944,101.072033,27.465752211557284
บริษัท ออแกนิกรีน จำกัด,Other manufacturing,14.84074,101.0774,28.008594215177737
บริษัท เจริญโภคภัณฑ์โปรดิ๊วส จำกัด,Other manufacturing,14.804008,101.077608,25.720184642189224
บริษัท สหชัยธุรกิจก่อสร้าง 1993 จำกัด,Cement/Quarry/Stone,14.84243,101.10569,30.57126559230684
ห้างหุ้นส่วนจำกัด สุขเกษมคอนกรีต,Cement/Quarry/Stone,14.8226075115125,101.1219019478,30.87729309925625
บริษัท กู๊ดวันฟีด จำกัด,Other manufacturing,14.832563,101.145155,33.59905509140014
บริษัท นำโชค 888 จำกัด,Other manufacturing,14.8468277917616,101.194132222,38.98959291710096
บริษัท วังม่วงคอนกรีต 2020 จำกัด,Cement/Quarry/Stone,14.8463986235168,101.1401614505,33.91399058332307
บริษัท ปุญญอมร กรุ๊ป จำกัด,Other manufacturing,14.8535014,101.1922512,39.15739407980482
บริษัท จรัญธุรกิจ 52 จำกัด,Cement/Quarry/Stone,14.616431,100.89908,8.248874141348988
บริษัท จรัญธุรกิจ 52 จำกัด,Other manufacturing,14.616215,100.899094,8.271879555581405
นางทิพยรัตน์ ชัยเสนา,Other manufacturing,14.5310795338882,100.9057461535,2.2477409380213764
,Other manufacturing,14.5807945754326,100.9287347614,6.0616453251300895
นายคำวรรณ ชมพูพาน,Other manufacturing,14.581763,100.930406,6.180255041738471
-,Other manufacturing,14.5310795338882,100.9057461535,2.2477409380213764
โรงงานลูกชิ้นกำไรทอง,Other manufacturing,14.5310795338882,100.9057461535,2.2477409380213764
ห้างหุ้นส่วนจำกัด โรงน้ำแข็ง เอส พี วี สระบุรี,Other manufacturing,14.56695,100.95412,5.43298973268962
บริษัท ทรายปูนก่อสร้าง จำกัด,Cement/Quarry/Stone,14.573593,100.9278196,5.25742301260113
ห้างหุ้นส่วนจำกัด คม เอ็นจิเนียริ่ง,Other manufacturing,14.57682,100.95741,6.549627366168773
บริษัท ทีพีไอ โพลีน จำกัด (มหาชน),Power/Energy,14.6182687040146,100.9317228844,9.885715613870229
ห้างหุ้นส่วนจำกัด สุจกฤษฎิ์ เทรดดิ้ง สระบุรี,Other manufacturing,14.5776896,100.9119453,5.907765793488315
เสริมทรัพย์การเกษตร,Other manufacturing,14.6491000823919,100.8714014436,4.085014783598523
บริษัท ศิลาธงชัย จำกัด,Cement/Quarry/Stone,14.64297,100.88706,5.034094898560137
บริษัท ส.ศิวโรจน์ ขนส่ง จำกัด,Other manufacturing,14.5310795338882,100.9057461535,2.2477409380213764
บริษัท ยูนิซอร์ซ แลนด์ ฟิว จำกัด,Other manufacturing,14.685077361008,100.9443554469,7.783611162983316
-,Other manufacturing,14.65706,100.94569,8.548505158170128
ส.ทองดี,Other manufacturing,14.67543,100.93719,7.107345955877888
ห้างหุ้นส่วนจำกัด ส.ศิวโรจน์ ขนส่ง,Other manufacturing,14.5379152179996,100.9153617047,1.725862084881087
บ่อดินทอง,Other manufacturing,14.66246,100.89994,3.973650908273001
นางสาวชญาดา ศรีจันทร์,Other manufacturing,14.6865633103679,100.9467591705,8.042090660904638
นายวุฒิชัย นิลชาติ,Other manufacturing,14.6801883406099,100.9239634214,5.624932648655095
บริษัท ส.ศิวโรจน์ ขนส่ง จำกัด,Other manufacturing,14.6701112836376,100.8703106377,1.7575498458041514
นายณรงค์ฤทธิ์ วงศ์ษา,Other manufacturing,14.6752000960649,100.926149088,5.943749406916671
,Other manufacturing,14.5310795338882,100.9057461535,2.2477409380213764
,Other manufacturing,14.66742,100.90552,4.146770714269719
บริษัท บิ๊กบูล อินเตอร์เทรด จำกัด,Other manufacturing,14.6411832526796,100.8827752983,5.098438891243798
ห้างหุ้นส่วนจำกัด โชคฉัตรไชยไรซ์มิล,Other manufacturing,14.62868,100.90269,7.161734875132988
ห้างหุ้นส่วนจำกัด เอกทวีคูณ,Other manufacturing,14.64201,100.8811,4.970334427763425
บริษัท นวคุณนวกิจ จำกัด,Cement/Quarry/Stone,14.6610883052854,100.9402675938,7.842382292866639
บริษัท โอบกิจพลาสติก จำกัด,Other manufacturing,14.6605,100.91899,5.78694140022006
บริษัท นครหลวงวัสดุภัณฑ์ จำกัด,Cement/Quarry/Stone,14.62374,100.89537,7.348054080559777
บริษัท 168 พุแคคอนกรีต จำกัด,Cement/Quarry/Stone,14.6309753993379,100.9064146968,7.135683948786339
บริษัท โรจน์สินก่อสร้าง จำกัด,Other manufacturing,14.64394,100.88771,4.955511242597214
บริษัท อู่ น.พุแคเจริญยนต์ จำกัด,Other manufacturing,14.661478,100.912978,5.173754679977106
บริษัท อู่ น.พุแคเจริญยนต์ จำกัด,Other manufacturing,14.66045,100.91346,5.278242415764403
บริษัท แมกซ์เวลล์ เอ็นเตอร์ไพรส์ จำกัด,Other manufacturing,14.6635392526164,100.9435514487,8.086400988674702
บริษัท โรงสี ช. ธัญญกิจ จำกัด,Other manufacturing,14.59127,100.89863,7.799282799383024
ห้างหุ้นส่วนจำกัด โรงสี พ.แสงวัฒนา 3,Other manufacturing,14.63117,100.88801,6.317662164598511
บริษัท โรงสี ช.ธัญญกิจ จำกัด,Other manufacturing,14.59126,100.89865,7.79743932471743
ห้างหุ้นส่วนจำกัด โรงสีไฟมิตรสัมพันธ์,Other manufacturing,14.61946,100.89247,7.7019942529125105
บริษัท โรงสีสระบุรีประสิทธิ์การเกษตร จำกัด,Other manufacturing,14.61928,100.89095,7.67612994139546
ห้างหุ้นส่วนจำกัด พ.แสงวัฒนา 4,Other manufacturing,14.6367,100.88857,5.746907928801977
ไทยสแตนดาร์ดไรซ์,Other manufacturing,14.58252,100.90078,6.812864510534284
บริษัท เค.เค ไอซ์ สระบุรี จำกัด,Other manufacturing,14.6039231,100.8581137,9.229601623932096
บริษัท เอฟ เอ สยาม เอนเนอจี จำกัด,Other manufacturing,14.586024,100.862232,9.55043356714572
บริษัท ดราก้อนคิง เฟอร์นิช จำกัด,Other manufacturing,14.5856033,100.8937252,7.451299578845246
บริษัท ปูนซีเมนต์คุณภาพ จำกัด,Cement/Quarry/Stone,14.62773,100.88706,6.660895624783861
บริษัท วงกลม จำกัด ,Cement/Quarry/Stone,14.62875,100.88897,6.604770946643838
,Cement/Quarry/Stone,14.6033009744644,100.8960861128,9.144670342765563
